,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
149,flipboard.app,Exit status: 0,2:23:56,81.80146026611328,activity_last,17/62,sf,10,22,12857,69677,52882,33,8,6,0,0,0,0,33
150,flipboard.app,Exit status: 255,1:25:52,79.62321472167969,activity_last,17/62,i,4,5,0,0,36586,5,2,28,0,0,0,0,5
151,flipboard.app,Exit status: 0,1:35:17,82.7662353515625,action_all,62/62,d,3,4,12857,69676,37285,4,1,28,0,0,0,0,4
152,flipboard.app,Exit status: 0,2:32:01,84.8744888305664,action_all,62/62,sf,9,17,12857,69677,52880,28,4,7,0,0,0,0,28
153,flipboard.app,Exit status: 255,1:29:42,79.54233932495117,action_all,62/62,i,3,4,0,0,36640,4,1,28,0,0,0,0,4
154,com.bitstrips.imoji,Exit status: 0,0:32,3.631378173828125,none,0,full static,2,5,8546,53292,7630,6,0,0,1,2,0,0,3
155,com.bitstrips.imoji,Exit status: 0,0:26,2.644634246826172,first_only,1/27,d,1,1,8546,53291,4749,1,0,5,1,0,2,0,0
156,com.bitstrips.imoji,Exit status: 0,0:30,2.970836639404297,first_only,1/27,sf,2,5,8546,53291,5935,7,3,2,1,5,0,0,1
157,com.bitstrips.imoji,Exit status: 0,0:27,2.533588409423828,last_only,1/27,d,1,1,8546,53291,4703,1,0,5,1,0,2,0,0
158,com.bitstrips.imoji,Exit status: 0,0:37,3.9061508178710938,last_only,1/27,sf,2,6,8546,53292,7050,8,3,1,2,4,0,0,2
159,com.bitstrips.imoji,Exit status: 0,0:48,7.417179107666016,activity_last,5/27,d,1,1,8546,53291,4775,1,0,5,1,0,2,0,0
160,com.bitstrips.imoji,Exit status: 0,0:49,7.2620849609375,activity_last,5/27,sf,2,5,8546,53291,5926,7,3,2,2,4,0,0,1
161,com.bitstrips.imoji,Exit status: 0,1:25,6.462577819824219,activity_last,5/27,i,1,1,8546,53291,4519,1,0,5,1,0,2,0,0
162,com.bitstrips.imoji,Exit status: 0,2:39,16.84124755859375,action_all,27/27,d,1,1,8546,53291,4837,1,0,5,1,0,2,0,0
